nyud 509
nyud 200
scenenet train/0/455 750
scenenet train/0/286 4250
scenenet train/0/160 4125
scenenet train/0/215 5025
scenenet train/0/323 3525
scenenet train/0/208 200
scenenet train/0/224 1550
scenenet train/0/213 3650
scenenet train/0/426 2375
scenenet train/0/482 250
scenenet train/0/308 6525
scenenet train/0/208 5550
scenenet train/0/399 6525
scenenet train/0/200 2250
scenenet train/0/289 6150
scenenet train/0/16 1375
nyud 418
nyud 542
scannet scene0000_00 002413
scannet scene0000_02 002766
scannet scene0002_00 000232
scannet scene0002_01 001403
scannet scene0000_00 003320
scannet scene0002_01 002470
scannet scene0002_01 004969
scannet scene0000_00 003623
scannet scene0002_01 002013
scannet scene0000_02 005192
scannet scene0000_02 005253
scannet scene0002_01 005274
scenenet train/0/180 3900
scenenet train/0/260 5525
scenenet train/0/458 4625
scenenet train/0/291 6250
scenenet train/0/368 1600
scenenet train/0/228 4525
scenenet train/0/84 5725
scenenet train/0/112 7450
scenenet train/0/335 3875
scenenet train/0/74 6400
scenenet train/0/120 6300
scenenet train/0/390 6275
scenenet train/0/197 3025
scenenet train/0/454 7325
scenenet train/0/157 5175
scenenet train/0/264 1900
scenenet train/0/170 6975
scenenet train/0/464 2500
scenenet train/0/288 6350
scenenet train/0/172 2750
scenenet train/0/294 275
scenenet train/0/69 5825
scenenet train/0/274 7300
scenenet train/0/204 5675
scenenet train/0/410 3125
scenenet train/0/396 3275
scenenet train/0/115 7350
scenenet train/0/164 4150
scenenet train/0/7 775
scenenet train/0/16 2550
scenenet train/0/421 6100
scenenet train/0/48 1325
scenenet train/0/416 0
scenenet train/0/75 5525
nyud 455
nyud 885
scannet scene0000_02 003814
scannet scene0002_01 000566
scannet scene0002_01 002621
scannet scene0000_01 004145
scannet scene0002_01 000260
scannet scene0002_01 002516
scannet scene0002_01 004181
scannet scene0000_02 005384
scannet scene0002_01 000023
scannet scene0002_00 000169
scannet scene0002_01 000449
scannet scene0000_02 004134
scenenet train/0/109 2925
scenenet train/0/66 2850
scenenet train/0/441 1750
scenenet train/0/46 675
scenenet train/0/254 3500
scenenet train/0/285 5375
scenenet train/0/416 4850
scenenet train/0/5 1175
scenenet train/0/77 1300
scenenet train/0/422 3250
scenenet train/0/138 4400
scenenet train/0/22 2275
scenenet train/0/426 1875
scenenet train/0/75 5775
scenenet train/0/242 5100
scenenet train/0/98 1575
scenenet train/0/111 3125
scenenet train/0/222 4375
scenenet train/0/300 4200
scenenet train/0/190 4200
scenenet train/0/199 6750
scenenet train/0/35 750
scenenet train/0/180 2875
scenenet train/0/62 1550
scenenet train/0/80 5425
scenenet train/0/306 425
scenenet train/0/216 4800
scenenet train/0/17 4525
scenenet train/0/85 3150
scenenet train/0/474 1725
scenenet train/0/444 6475
scenenet train/0/214 4675
scenenet train/0/47 6375
scenenet train/0/328 2875
nyud 385
nyud 639
scannet scene0000_00 004153
scannet scene0000_02 002929
scannet scene0002_01 001927
scannet scene0000_00 002852
scannet scene0000_01 001191
scannet scene0000_00 000818
scannet scene0000_02 004061
scannet scene0000_01 001954
scannet scene0001_00 000256
scannet scene0002_01 001433
scannet scene0000_02 003857
scannet scene0002_00 001483
scenenet train/0/459 4075
scenenet train/0/54 2425
scenenet train/0/225 6350
scenenet train/0/295 4650
scenenet train/0/269 6175
scenenet train/0/49 5200
scenenet train/0/54 7125
scenenet train/0/425 4175
scenenet train/0/240 2900
scenenet train/0/109 6700
scenenet train/0/111 5700
scenenet train/0/395 2150
scenenet train/0/149 6300
scenenet train/0/137 7300
scenenet train/0/178 2325
scenenet train/0/265 6075
scenenet train/0/298 2425
scenenet train/0/115 6100
scenenet train/0/336 2850
scenenet train/0/198 4475
scenenet train/0/278 6275
scenenet train/0/255 5325
scenenet train/0/230 1150
scenenet train/0/174 3450
scenenet train/0/319 5975
scenenet train/0/222 6800
scenenet train/0/135 50
scenenet train/0/167 5275
scenenet train/0/144 3250
scenenet train/0/28 4550
scenenet train/0/259 1025
scenenet train/0/344 4550
scenenet train/0/30 4400
scenenet train/0/168 2375
nyud 942
nyud 99
scannet scene0000_02 002006
scannet scene0002_01 004400
scannet scene0000_01 000480
scannet scene0002_01 000235
scannet scene0000_02 002026
scannet scene0000_00 001701
scannet scene0000_01 004863
scannet scene0000_00 003929
scannet scene0001_00 001291
scannet scene0000_00 004434
scannet scene0002_01 002905
scannet scene0002_00 001016
scenenet train/0/380 875
scenenet train/0/425 6625
scenenet train/0/308 2475
scenenet train/0/92 7475
scenenet train/0/477 7075
scenenet train/0/300 650
scenenet train/0/377 800
scenenet train/0/438 4525
scenenet train/0/77 4725
scenenet train/0/250 1900
scenenet train/0/96 5900
scenenet train/0/372 6175
scenenet train/0/26 1150
scenenet train/0/289 4975
scenenet train/0/401 1075
scenenet train/0/143 3075
scenenet train/0/72 300
scenenet train/0/477 75
scenenet train/0/407 5400
scenenet train/0/56 5850
scenenet train/0/271 4975
scenenet train/0/361 6350
scenenet train/0/70 1175
scenenet train/0/475 7325
scenenet train/0/239 2700
scenenet train/0/220 6100
scenenet train/0/224 825
scenenet train/0/335 5250
scenenet train/0/228 3500
scenenet train/0/433 4750
scenenet train/0/167 6675
scenenet train/0/288 5650
scenenet train/0/252 4975
scenenet train/0/93 3275
nyud 488
nyud 1095
scannet scene0000_01 002057
scannet scene0000_02 002108
scannet scene0002_00 000446
scannet scene0000_01 001119
scannet scene0000_01 003814
scannet scene0000_00 001449
scannet scene0001_00 000653
scannet scene0001_00 001391
scannet scene0000_00 005311
scannet scene0000_01 001158
scannet scene0000_00 002563
scannet scene0000_00 002241
scenenet train/0/323 1250
scenenet train/0/60 4975
scenenet train/0/360 125
scenenet train/0/245 5925
scenenet train/0/189 5750
scenenet train/0/485 4525
scenenet train/0/169 6050
scenenet train/0/43 6950
scenenet train/0/416 6600
scenenet train/0/193 2525
scenenet train/0/278 7475
scenenet train/0/301 1775
scenenet train/0/62 5425
scenenet train/0/452 4325
scenenet train/0/318 3850
scenenet train/0/108 750
scenenet train/0/237 1525
scenenet train/0/136 4050
scenenet train/0/64 1725
scenenet train/0/187 5600
scenenet train/0/90 5325
scenenet train/0/204 2525
scenenet train/0/140 2575
scenenet train/0/411 7300
scenenet train/0/446 6025
scenenet train/0/172 4725
scenenet train/0/396 1475
scenenet train/0/199 525
scenenet train/0/145 3100
scenenet train/0/114 3450
scenenet train/0/460 7150
scenenet train/0/248 5025
scenenet train/0/42 3575
scenenet train/0/42 2725
nyud 817
nyud 395
scannet scene0000_01 004794
scannet scene0002_01 003860
scannet scene0001_00 000548
scannet scene0001_00 000960
scannet scene0002_01 001679
scannet scene0001_00 000534
scannet scene0000_02 001995
scannet scene0000_01 002384
scannet scene0001_00 000350
scannet scene0000_01 003930
scannet scene0000_01 000013
scannet scene0002_01 000475
scenenet train/0/54 5125
scenenet train/0/249 4250
scenenet train/0/333 0
scenenet train/0/234 5050
scenenet train/0/21 7075
scenenet train/0/494 4675
scenenet train/0/91 1050
scenenet train/0/239 1075
scenenet train/0/329 3900
scenenet train/0/273 6825
scenenet train/0/67 5650
scenenet train/0/347 2875
scenenet train/0/351 525
scenenet train/0/245 6125
scenenet train/0/278 6725
scenenet train/0/279 875
scenenet train/0/149 6250
scenenet train/0/352 6050
scenenet train/0/495 4400
scenenet train/0/437 5175
scenenet train/0/278 5400
scenenet train/0/94 3150
scenenet train/0/31 4950
scenenet train/0/46 1975
scenenet train/0/316 7375
scenenet train/0/479 6025
scenenet train/0/156 7475
scenenet train/0/148 5100
scenenet train/0/434 4375
scenenet train/0/460 2675
scenenet train/0/17 1925
scenenet train/0/274 5800
scenenet train/0/5 7050
scenenet train/0/99 4700
nyud 406
nyud 219
scannet scene0001_01 000015
scannet scene0000_01 002441
scannet scene0002_01 001393
scannet scene0000_01 001269
scannet scene0000_01 004230
scannet scene0000_00 004675
scannet scene0000_00 003190
scannet scene0001_00 000032
scannet scene0000_02 002291
scannet scene0000_01 004151
scannet scene0000_01 001290
scannet scene0000_02 004736
scenenet train/0/414 2950
scenenet train/0/121 2375
scenenet train/0/72 2950
scenenet train/0/455 150
scenenet train/0/329 175
scenenet train/0/494 1350
scenenet train/0/436 4375
scenenet train/0/138 6450
scenenet train/0/209 7375
scenenet train/0/143 4650
scenenet train/0/156 1100
scenenet train/0/399 7125
scenenet train/0/41 2250
scenenet train/0/497 7375
scenenet train/0/480 6150
scenenet train/0/342 4675
scenenet train/0/275 4400
scenenet train/0/227 1625
scenenet train/0/466 4500
scenenet train/0/249 6000
scenenet train/0/492 900
scenenet train/0/15 125
scenenet train/0/4 4325
scenenet train/0/253 4800
scenenet train/0/320 3525
scenenet train/0/138 7050
scenenet train/0/451 5575
scenenet train/0/94 5325
scenenet train/0/198 5225
scenenet train/0/410 5775
scenenet train/0/365 6350
scenenet train/0/457 6575
scenenet train/0/343 6250
scenenet train/0/301 1875
nyud 326
nyud 670
scannet scene0000_00 003135
scannet scene0002_01 004788
scannet scene0000_00 001133
scannet scene0002_00 000641
scannet scene0002_01 000785
scannet scene0000_00 002343
scannet scene0000_02 003026
scannet scene0000_00 005209
scannet scene0002_01 003646
scannet scene0000_02 003331
scannet scene0000_02 004306
scannet scene0002_00 000059
scenenet train/0/446 5275
scenenet train/0/160 7150
scenenet train/0/62 5525
scenenet train/0/57 4275
scenenet train/0/480 5400
scenenet train/0/267 4050
scenenet train/0/216 1400
scenenet train/0/413 6000
scenenet train/0/24 6950
scenenet train/0/304 1100
scenenet train/0/187 1975
scenenet train/0/377 3800
scenenet train/0/451 7225
scenenet train/0/477 550
scenenet train/0/20 5325
scenenet train/0/439 6750
scenenet train/0/385 4275
scenenet train/0/299 5475
scenenet train/0/377 1200
scenenet train/0/333 4450
scenenet train/0/140 4600
scenenet train/0/435 2200
scenenet train/0/88 1100
scenenet train/0/105 2925
scenenet train/0/112 1200
scenenet train/0/118 2175
scenenet train/0/239 2975
scenenet train/0/285 3625
scenenet train/0/495 450
scenenet train/0/9 5675
scenenet train/0/17 6225
scenenet train/0/498 600
scenenet train/0/489 6075
scenenet train/0/305 3775
nyud 937
nyud 407
scannet scene0000_01 002902
scannet scene0000_00 000641
scannet scene0000_00 002276
scannet scene0000_01 003384
scannet scene0000_01 002092
scannet scene0000_02 001876
scannet scene0002_01 001324
scannet scene0000_02 000798
scannet scene0002_01 005226
scannet scene0000_00 005234
scannet scene0000_02 001402
scannet scene0000_02 005236
scenenet train/0/366 5525
scenenet train/0/352 400
scenenet train/0/99 5225
scenenet train/0/81 200
scenenet train/0/366 6175
scenenet train/0/66 3600
scenenet train/0/486 4375
scenenet train/0/219 3150
scenenet train/0/309 6300
scenenet train/0/204 4275
scenenet train/0/359 5000
scenenet train/0/487 4475
scenenet train/0/139 2650
scenenet train/0/72 2625
scenenet train/0/291 5825
scenenet train/0/86 6425
scenenet train/0/225 3600
scenenet train/0/252 6950
scenenet train/0/171 2375
scenenet train/0/170 2675
scenenet train/0/17 875
scenenet train/0/45 2800
scenenet train/0/319 7200
scenenet train/0/142 2800
scenenet train/0/49 2500
scenenet train/0/348 1250
scenenet train/0/359 1400
scenenet train/0/79 6900
scenenet train/0/342 7100
scenenet train/0/487 6025
scenenet train/0/76 2825
scenenet train/0/302 800
scenenet train/0/270 6450
scenenet train/0/68 7275
nyud 1209
nyud 979
scannet scene0002_01 000598
scannet scene0000_01 001463
scannet scene0001_01 000608
scannet scene0000_01 001156
scannet scene0000_02 004508
scannet scene0000_02 001612
scannet scene0002_01 002351
scannet scene0000_02 004971
scannet scene0002_01 000269
scannet scene0000_01 000920
scannet scene0002_01 002755
scannet scene0000_00 003724
scenenet train/0/384 5650
scenenet train/0/12 5625
scenenet train/0/399 6050
scenenet train/0/497 4825
scenenet train/0/161 2425
scenenet train/0/356 1375
scenenet train/0/287 6725
scenenet train/0/140 7050
scenenet train/0/412 7350
scenenet train/0/395 2275
scenenet train/0/291 5750
scenenet train/0/45 6950
scenenet train/0/312 4350
scenenet train/0/174 5775
scenenet train/0/468 5450
scenenet train/0/275 5725
scenenet train/0/227 5550
scenenet train/0/177 1325
scenenet train/0/192 625
scenenet train/0/338 3675
scenenet train/0/262 5900
scenenet train/0/326 3325
scenenet train/0/247 4500
scenenet train/0/70 6025
scenenet train/0/11 775
scenenet train/0/437 6150
scenenet train/0/401 4075
scenenet train/0/85 5350
scenenet train/0/417 7475
scenenet train/0/426 6800
scenenet train/0/137 5200
scenenet train/0/11 425
scenenet train/0/346 4600
scenenet train/0/172 650
nyud 853
nyud 371
scannet scene0000_01 001083
scannet scene0000_02 002422
scannet scene0002_01 003134
scannet scene0000_00 003971
scannet scene0001_01 001037
scannet scene0002_01 001322
scannet scene0001_00 000394
scannet scene0002_01 002740
scannet scene0000_00 000588
scannet scene0000_01 001466
scannet scene0002_01 004905
scannet scene0001_01 000630
scenenet train/0/274 725
scenenet train/0/46 7400
scenenet train/0/272 1125
scenenet train/0/50 4600
scenenet train/0/216 7475
scenenet train/0/364 825
scenenet train/0/419 4325
scenenet train/0/431 6625
scenenet train/0/44 2975
scenenet train/0/102 5500
scenenet train/0/383 4175
scenenet train/0/495 1850
scenenet train/0/99 1550
scenenet train/0/261 5750
scenenet train/0/272 525
scenenet train/0/224 1375
scenenet train/0/222 1625
scenenet train/0/188 4975
scenenet train/0/497 7100
scenenet train/0/103 7275
scenenet train/0/1 7450
scenenet train/0/10 4100
scenenet train/0/377 4850
scenenet train/0/468 0
scenenet train/0/426 5400
scenenet train/0/215 800
scenenet train/0/55 1175
scenenet train/0/182 2925
scenenet train/0/113 6600
scenenet train/0/452 7475
scenenet train/0/52 775
scenenet train/0/319 3275
scenenet train/0/33 2800
scenenet train/0/397 4975
nyud 694
nyud 375
scannet scene0000_01 002803
scannet scene0000_01 005191
scannet scene0000_00 004313
scannet scene0000_02 001971
scannet scene0000_00 003381
scannet scene0000_00 003125
scannet scene0000_00 000760
scannet scene0000_01 002883
scannet scene0002_00 000460
scannet scene0000_02 000847
scannet scene0000_01 004081
scannet scene0000_01 002456
scenenet train/0/330 4075
scenenet train/0/390 3675
scenenet train/0/306 5125
scenenet train/0/82 4250
scenenet train/0/253 900
scenenet train/0/312 2850
scenenet train/0/86 4075
scenenet train/0/183 775
scenenet train/0/339 1450
scenenet train/0/335 3125
scenenet train/0/144 2100
scenenet train/0/322 4525
scenenet train/0/322 75
scenenet train/0/483 5800
scenenet train/0/386 1725
scenenet train/0/163 775
scenenet train/0/412 6775
scenenet train/0/221 4800
scenenet train/0/336 3350
scenenet train/0/196 700
scenenet train/0/467 2050
scenenet train/0/174 2550
scenenet train/0/111 6100
scenenet train/0/30 5800
scenenet train/0/116 2525
scenenet train/0/422 1275
scenenet train/0/137 6100
scenenet train/0/478 5200
scenenet train/0/280 7400
scenenet train/0/83 2150
scenenet train/0/311 7175
scenenet train/0/86 4650
scenenet train/0/65 375
scenenet train/0/108 950
nyud 1287
nyud 719
scannet scene0002_01 000458
scannet scene0000_00 002856
scannet scene0001_01 000917
scannet scene0001_00 000926
scannet scene0002_01 002105
scannet scene0000_00 004313
scannet scene0000_02 002889
scannet scene0000_00 004180
scannet scene0002_01 003315
scannet scene0002_01 003158
scannet scene0001_00 000291
scannet scene0000_00 004857
scenenet train/0/342 1875
scenenet train/0/440 3225
scenenet train/0/304 5350
scenenet train/0/20 1225
scenenet train/0/307 4350
scenenet train/0/99 900
scenenet train/0/113 0
scenenet train/0/112 2500
scenenet train/0/208 1350
scenenet train/0/43 2825
scenenet train/0/303 3750
scenenet train/0/83 6225
scenenet train/0/415 1325
scenenet train/0/75 900
scenenet train/0/487 6350
scenenet train/0/416 250
scenenet train/0/203 5750
scenenet train/0/187 3550
scenenet train/0/26 6625
scenenet train/0/351 2875
scenenet train/0/222 6375
scenenet train/0/216 4325
scenenet train/0/215 525
scenenet train/0/493 4575
scenenet train/0/99 2275
scenenet train/0/474 3900
scenenet train/0/132 5975
scenenet train/0/246 1050
scenenet train/0/266 4725
scenenet train/0/451 2275
scenenet train/0/316 7400
scenenet train/0/56 1475
scenenet train/0/270 6525
scenenet train/0/439 5175
nyud 310
nyud 1286
scannet scene0002_01 002724
scannet scene0000_00 003412
scannet scene0000_00 003098
scannet scene0002_01 003642
scannet scene0000_02 000590
scannet scene0001_00 001025
scannet scene0001_00 001048
scannet scene0002_01 001834
scannet scene0002_01 000111
scannet scene0000_00 002840
scannet scene0000_02 004547
scannet scene0002_01 002029
scenenet train/0/232 1025
scenenet train/0/319 1875
scenenet train/0/264 200
scenenet train/0/300 1650
scenenet train/0/105 5525
scenenet train/0/230 7450
scenenet train/0/419 1550
scenenet train/0/190 975
scenenet train/0/282 5450
scenenet train/0/314 5925
scenenet train/0/462 3325
scenenet train/0/283 1975
scenenet train/0/478 2250
scenenet train/0/143 1675
scenenet train/0/166 4450
scenenet train/0/103 6875
scenenet train/0/15 6300
scenenet train/0/166 1750
scenenet train/0/427 1800
scenenet train/0/93 5775
scenenet train/0/437 6050
scenenet train/0/227 4575
scenenet train/0/474 4400
scenenet train/0/303 75
scenenet train/0/418 1200
scenenet train/0/34 5575
scenenet train/0/366 500
scenenet train/0/52 2075
scenenet train/0/195 725
scenenet train/0/425 7425
scenenet train/0/498 6850
scenenet train/0/227 2900
scenenet train/0/84 6400
scenenet train/0/37 6300
nyud 1121
nyud 788
scannet scene0002_01 000644
scannet scene0002_01 005044
scannet scene0002_01 001997
scannet scene0000_00 003958
scannet scene0000_00 005361
scannet scene0000_02 005374
scannet scene0000_02 001770
scannet scene0000_01 005385
scannet scene0000_00 002171
scannet scene0002_01 001276
scannet scene0000_00 003391
scannet scene0000_02 001045
scenenet train/0/79 2050
scenenet train/0/165 5575
scenenet train/0/432 5200
scenenet train/0/476 2300
scenenet train/0/258 2000
scenenet train/0/296 950
scenenet train/0/40 3650
scenenet train/0/234 6925
scenenet train/0/365 200
scenenet train/0/346 6900
scenenet train/0/162 4100
scenenet train/0/100 7400
scenenet train/0/237 1600
scenenet train/0/377 2550
scenenet train/0/281 4450
scenenet train/0/409 3300
scenenet train/0/80 1325
scenenet train/0/272 5275
scenenet train/0/80 1675
scenenet train/0/349 800
scenenet train/0/91 250
scenenet train/0/70 4750
scenenet train/0/5 4600
scenenet train/0/93 875
scenenet train/0/70 6225
scenenet train/0/193 2975
scenenet train/0/61 1250
scenenet train/0/467 4625
scenenet train/0/351 1725
scenenet train/0/454 3600
scenenet train/0/9 3500
scenenet train/0/116 4375
scenenet train/0/183 5600
scenenet train/0/321 3875
nyud 771
nyud 201
scannet scene0000_01 002364
scannet scene0002_01 005008
scannet scene0000_01 005270
scannet scene0000_00 000941
scannet scene0000_01 002108
scannet scene0001_00 000418
scannet scene0000_02 000711
scannet scene0000_01 005259
scannet scene0002_00 000742
scannet scene0000_02 001227
scannet scene0000_01 001733
scannet scene0000_02 000557
scenenet train/0/192 7125
scenenet train/0/123 4800
scenenet train/0/145 4400
scenenet train/0/15 5175
scenenet train/0/147 3250
scenenet train/0/190 1525
scenenet train/0/273 7025
scenenet train/0/104 6400
scenenet train/0/61 3150
scenenet train/0/332 5575
scenenet train/0/237 5200
scenenet train/0/279 1050
scenenet train/0/401 3850
scenenet train/0/474 3025
scenenet train/0/498 3375
scenenet train/0/282 5225
scenenet train/0/414 4950
scenenet train/0/480 850
scenenet train/0/158 3375
scenenet train/0/282 1175
scenenet train/0/42 6500
scenenet train/0/457 5125
scenenet train/0/442 6600
scenenet train/0/259 6400
scenenet train/0/102 1275
scenenet train/0/40 6525
scenenet train/0/488 4175
scenenet train/0/415 5175
scenenet train/0/343 1800
scenenet train/0/489 4350
scenenet train/0/459 5375
scenenet train/0/287 800
scenenet train/0/393 875
scenenet train/0/385 1875
nyud 790
nyud 211
scannet scene0002_01 004881
scannet scene0000_00 004480
scannet scene0000_01 000753
scannet scene0000_02 000277
scannet scene0000_00 004280
scannet scene0000_01 005306
scannet scene0002_01 001268
scannet scene0000_00 000582
scannet scene0000_02 002021
scannet scene0000_01 004180
scannet scene0002_01 000626
scannet scene0002_01 001671
scenenet train/0/191 5850
scenenet train/0/227 2125
scenenet train/0/92 5375
scenenet train/0/44 3725
scenenet train/0/215 2225
scenenet train/0/477 6425
scenenet train/0/392 1050
scenenet train/0/405 2050
scenenet train/0/196 6800
scenenet train/0/385 625
scenenet train/0/69 5025
scenenet train/0/481 1450
scenenet train/0/497 250
scenenet train/0/63 6675
scenenet train/0/376 7200
scenenet train/0/273 800
scenenet train/0/320 3750
scenenet train/0/245 625
scenenet train/0/167 3800
scenenet train/0/54 6000
scenenet train/0/450 6725
scenenet train/0/171 3125
scenenet train/0/352 2000
scenenet train/0/188 3425
scenenet train/0/371 5850
scenenet train/0/92 7000
scenenet train/0/475 375
scenenet train/0/499 3875
scenenet train/0/307 2375
scenenet train/0/429 5575
scenenet train/0/401 4150
scenenet train/0/485 1275
scenenet train/0/252 4700
scenenet train/0/189 6450
nyud 101
nyud 767
scannet scene0000_01 001995
scannet scene0002_01 004114
scannet scene0000_01 004310
scannet scene0001_00 000073
scannet scene0000_01 001065
scannet scene0002_00 001100
scannet scene0000_02 003076
scannet scene0002_01 000310
scannet scene0001_00 000065
scannet scene0000_01 001943
scannet scene0002_01 005372
scannet scene0000_00 000024
scenenet train/0/480 7225
scenenet train/0/432 825
scenenet train/0/146 3350
scenenet train/0/122 4850
scenenet train/0/189 3925
scenenet train/0/2 7450
scenenet train/0/369 5725
scenenet train/0/242 5375
scenenet train/0/432 4575
scenenet train/0/363 6575
scenenet train/0/5 5150
scenenet train/0/430 4225
scenenet train/0/296 5050
scenenet train/0/306 800
scenenet train/0/77 3400
scenenet train/0/364 3225
scenenet train/0/221 3475
scenenet train/0/149 4000
scenenet train/0/220 2775
scenenet train/0/121 3875
scenenet train/0/262 1550
scenenet train/0/63 2750
scenenet train/0/173 6625
scenenet train/0/418 1850
scenenet train/0/19 1425
scenenet train/0/367 1875
scenenet train/0/491 5850
scenenet train/0/283 4775
scenenet train/0/396 5575
scenenet train/0/409 4975
scenenet train/0/270 2275
scenenet train/0/254 3125
scenenet train/0/30 6875
scenenet train/0/28 6800
nyud 529
nyud 130
scannet scene0001_00 001433
scannet scene0000_00 004321
scannet scene0000_01 001745
scannet scene0002_00 001257
scannet scene0000_01 001565
scannet scene0002_00 000783
scannet scene0002_01 001898
scannet scene0000_00 001028
scannet scene0000_01 001989
scannet scene0002_00 000668
scannet scene0000_00 002797
scannet scene0000_00 002792
scenenet train/0/76 2150
scenenet train/0/489 4150
scenenet train/0/487 2600
scenenet train/0/19 575
scenenet train/0/89 4850
scenenet train/0/319 1250
scenenet train/0/239 1150
scenenet train/0/49 6700
scenenet train/0/57 6900
scenenet train/0/245 2700
scenenet train/0/224 5450
scenenet train/0/230 4100
scenenet train/0/494 750
scenenet train/0/346 6700
scenenet train/0/399 6925
scenenet train/0/425 4450
scenenet train/0/23 6925
scenenet train/0/26 5600
scenenet train/0/185 4175
scenenet train/0/22 2975
scenenet train/0/248 5425
scenenet train/0/419 6000
scenenet train/0/400 3025
scenenet train/0/9 5575
scenenet train/0/377 3900
scenenet train/0/26 5750
scenenet train/0/77 6200
scenenet train/0/52 1350
scenenet train/0/112 2325
scenenet train/0/251 6675
scenenet train/0/117 6400
scenenet train/0/136 5200
scenenet train/0/163 7125
scenenet train/0/185 2175
nyud 638
nyud 204
scannet scene0002_01 004394
scannet scene0002_00 001411
scannet scene0000_01 002756
scannet scene0000_01 004402
scannet scene0000_00 000775
scannet scene0000_02 004035
scannet scene0002_01 001156
scannet scene0002_01 001532
scannet scene0000_01 003447
scannet scene0000_02 002336
scannet scene0000_00 000626
scannet scene0000_02 002084
scenenet train/0/252 7300
scenenet train/0/321 4700
scenenet train/0/363 5825
scenenet train/0/420 400
scenenet train/0/118 3525
scenenet train/0/478 3750
scenenet train/0/148 2450
scenenet train/0/157 2725
scenenet train/0/296 2400
scenenet train/0/167 3150
scenenet train/0/285 775
scenenet train/0/0 3625
scenenet train/0/105 2150
scenenet train/0/444 5750
scenenet train/0/118 2400
scenenet train/0/454 4975
scenenet train/0/305 7225
scenenet train/0/307 6725
scenenet train/0/400 1450
scenenet train/0/36 6250
scenenet train/0/340 250
scenenet train/0/290 4550
scenenet train/0/254 725
scenenet train/0/34 5325
scenenet train/0/341 5675
scenenet train/0/278 5050
scenenet train/0/467 4075
scenenet train/0/348 6025
scenenet train/0/484 7275
scenenet train/0/23 5850
scenenet train/0/224 4475
scenenet train/0/161 3600
scenenet train/0/49 3225
scenenet train/0/424 3000
nyud 864
nyud 1032
scannet scene0000_01 001249
scannet scene0000_01 004237
scannet scene0000_01 001351
scannet scene0002_01 000123
scannet scene0002_01 004498
scannet scene0002_00 001204
scannet scene0000_00 001324
scannet scene0000_02 002521
scannet scene0002_00 000105
scannet scene0000_00 000825
scannet scene0000_02 002041
scannet scene0000_01 004758
scenenet train/0/357 6675
scenenet train/0/135 275
scenenet train/0/452 5475
scenenet train/0/185 6500
scenenet train/0/86 450
scenenet train/0/55 3175
scenenet train/0/334 5250
scenenet train/0/230 1075
scenenet train/0/317 2650
scenenet train/0/464 5800
scenenet train/0/123 200
scenenet train/0/220 1700
scenenet train/0/445 4400
scenenet train/0/113 2125
scenenet train/0/90 1475
scenenet train/0/119 4050
scenenet train/0/427 3475
scenenet train/0/250 1150
scenenet train/0/442 100
scenenet train/0/301 975
scenenet train/0/37 6525
scenenet train/0/172 2825
scenenet train/0/455 5425
scenenet train/0/207 4075
scenenet train/0/62 525
scenenet train/0/9 800
scenenet train/0/171 625
scenenet train/0/64 7100
scenenet train/0/165 4750
scenenet train/0/181 7025
scenenet train/0/86 1175
scenenet train/0/361 975
scenenet train/0/230 4150
scenenet train/0/320 6650
nyud 1274
nyud 713
scannet scene0000_01 002616
scannet scene0001_00 001069
scannet scene0000_01 002523
scannet scene0001_01 000814
scannet scene0000_02 001292
scannet scene0000_02 003402
scannet scene0000_00 004172
scannet scene0000_02 003946
scannet scene0000_00 003013
scannet scene0000_00 002199
scannet scene0000_02 004489
scannet scene0002_01 005101
scenenet train/0/467 5650
scenenet train/0/207 250
scenenet train/0/106 3625
scenenet train/0/232 7300
scenenet train/0/492 2000
scenenet train/0/457 1175
scenenet train/0/167 6925
scenenet train/0/252 475
scenenet train/0/209 1225
scenenet train/0/315 7025
scenenet train/0/478 3000
scenenet train/0/250 3300
scenenet train/0/347 400
scenenet train/0/56 3275
scenenet train/0/35 3475
scenenet train/0/246 4825
scenenet train/0/280 1575
scenenet train/0/477 5425
scenenet train/0/207 1250
scenenet train/0/100 0
scenenet train/0/375 2775
scenenet train/0/332 7075
scenenet train/0/206 3300
scenenet train/0/28 1425
scenenet train/0/107 2375
scenenet train/0/479 1950
scenenet train/0/280 5925
scenenet train/0/483 1850
scenenet train/0/134 6125
scenenet train/0/372 600
scenenet train/0/262 4675
scenenet train/0/26 5150
scenenet train/0/242 2150
scenenet train/0/221 3650
nyud 635
nyud 835
scannet scene0000_02 004041
scannet scene0000_00 004242
scannet scene0002_01 005118
scannet scene0000_02 002853
scannet scene0002_01 004629
scannet scene0000_02 000887
scannet scene0002_01 002545
scannet scene0002_01 005427
scannet scene0002_00 001109
scannet scene0002_00 000913
scannet scene0001_01 000193
scannet scene0000_02 004748
scenenet train/0/465 2050
scenenet train/0/90 1075
scenenet train/0/296 6300
scenenet train/0/364 3200
scenenet train/0/161 2475
scenenet train/0/489 2750
scenenet train/0/365 4750
scenenet train/0/91 1250
scenenet train/0/468 5600
scenenet train/0/266 2250
scenenet train/0/361 1675
scenenet train/0/187 4650
scenenet train/0/9 325
scenenet train/0/11 7075
scenenet train/0/429 2225
scenenet train/0/62 3275
scenenet train/0/376 6225
scenenet train/0/168 5850
scenenet train/0/164 900
scenenet train/0/96 2925
scenenet train/0/463 7125
